File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 11:39:31 CET
Duration: 5.12s, Total samples = 12.81s (250.40%)
Showing nodes accounting for 8.53s, 66.59% of 12.81s total
Dropped 684 nodes (cum <= 0.06s)
         0     0% 66.59%      0.24s  1.87%  runtime.futexwakeup
         0     0% 66.59%      1.41s 11.01%  runtime.gcBgMarkWorker
         0     0% 66.59%      1.41s 11.01%  runtime.gcBgMarkWorker.func2
         0     0% 66.59%      0.41s  3.20%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 66.59%         1s  7.81%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 66.59%      0.23s  1.80%  runtime.goexit0
         0     0% 66.59%      0.18s  1.41%  runtime.goready (inline)
         0     0% 66.59%      0.18s  1.41%  runtime.heapSetTypeNoHeader (inline)
         0     0% 66.59%      0.20s  1.56%  runtime.lock (inline)
         0     0% 66.59%      0.20s  1.56%  runtime.lockWithRank (inline)
         0     0% 66.59%      0.43s  3.36%  runtime.mPark (inline)
         0     0% 66.59%      0.09s   0.7%  runtime.makeslicecopy
         0     0% 66.59%      0.08s  0.62%  runtime.mapaccess1
         0     0% 66.59%      1.72s 13.43%  runtime.mcall
         0     0% 66.59%      0.09s   0.7%  runtime.newproc
         0     0% 66.59%      0.08s  0.62%  runtime.newproc.func1
         0     0% 66.59%      0.63s  4.92%  runtime.newstack
         0     0% 66.59%      0.23s  1.80%  runtime.notewakeup
         0     0% 66.59%      0.12s  0.94%  runtime.pcdatavalue
         0     0% 66.59%      0.12s  0.94%  runtime.resetspinning
         0     0% 66.59%      0.14s  1.09%  runtime.send
         0     0% 66.59%      0.12s  0.94%  runtime.send.goready.func1
         0     0% 66.59%      0.23s  1.80%  runtime.startm
         0     0% 66.59%      0.27s  2.11%  runtime.wakep
         0     0% 66.59%      0.17s  1.33%  sync.(*Mutex).Lock (inline)
         0     0% 66.59%      0.12s  0.94%  syscall.Fdatasync
         0     0% 66.59%      0.08s  0.62%  syscall.Getdents
         0     0% 66.59%      0.09s   0.7%  syscall.Open (inline)
         0     0% 66.59%      0.09s   0.7%  syscall.Pread (inline)
         0     0% 66.59%      0.33s  2.58%  syscall.Pwrite (inline)
         0     0% 66.59%      1.47s 11.48%  syscall.RawSyscall6
         0     0% 66.59%      0.31s  2.42%  syscall.Read (inline)
         0     0% 66.59%      0.08s  0.62%  syscall.ReadDirent (inline)
         0     0% 66.59%      1.03s  8.04%  syscall.Syscall
         0     0% 66.59%      0.52s  4.06%  syscall.Write (inline)
         0     0% 66.59%      0.09s   0.7%  syscall.openat
         0     0% 66.59%      0.09s   0.7%  syscall.pread
         0     0% 66.59%      0.33s  2.58%  syscall.pwrite
         0     0% 66.59%      0.52s  4.06%  syscall.write
         0     0% 66.59%      0.08s  0.62%  time.Time.Format
