File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:10:06 CET
Duration: 5s, Total samples = 4.52s (90.38%)
Showing nodes accounting for 3.24s, 71.68% of 4.52s total
Dropped 470 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 71.68%      0.07s  1.55%  runtime.startm
         0     0% 71.68%      0.10s  2.21%  runtime.stopm
         0     0% 71.68%      0.59s 13.05%  runtime.systemstack
         0     0% 71.68%      0.09s  1.99%  runtime.wakep
         0     0% 71.68%      0.12s  2.65%  sync.(*Mutex).Lock (inline)
         0     0% 71.68%      0.07s  1.55%  syscall.Fdatasync
         0     0% 71.68%      0.05s  1.11%  syscall.Open (inline)
         0     0% 71.68%      0.09s  1.99%  syscall.Pwrite (inline)
         0     0% 71.68%      0.63s 13.94%  syscall.RawSyscall6
         0     0% 71.68%      0.10s  2.21%  syscall.Read (inline)
         0     0% 71.68%      0.47s 10.40%  syscall.Syscall
         0     0% 71.68%      0.17s  3.76%  syscall.Syscall6
         0     0% 71.68%      0.26s  5.75%  syscall.Write (inline)
         0     0% 71.68%      0.05s  1.11%  syscall.openat
         0     0% 71.68%      0.09s  1.99%  syscall.pwrite
         0     0% 71.68%      0.10s  2.21%  syscall.read
         0     0% 71.68%      0.26s  5.75%  syscall.write
         0     0% 71.68%      0.03s  0.66%  time.Now
